Year,Slot,Section,Context,QuestionText,OptionA,OptionB,OptionC,OptionD,AnswerType,CorrectAnswer,ImageFiles,Unnamed: 12,Unnamed: 13,tag
2024,3,DI-LR,"The air-conditioner (AC) in a large room can be operated either in REGULAR mode
                            or in POWER mode to reduce the temperature. If the AC operates in REGULAR mode,
                            then it brings down the temperature inside the room (called inside temperature) at a
                            constant rate to the set temperature in 1 hour. If it operates in POWER mode, then this is
                            achieved in 30 minutes. If the AC is switched off, then the inside temperature
                            rises at a constant rate so as to reach the temperature outside at the time of switching off
                            in 1 hour. The temperature outside has been falling at a constant rate from 7 pm
                            onward until 3 am on a particular night. The following graph shows the inside temperature
                            between 11 pm (23:00) and 2 am (2:00) that night. The following facts are known about the AC operation that
                            night. â¢ The AC was turned on for the first time that night at 11 pm (23:00). â¢ The AC setting was changed (including turning it on/off, and/or setting different
                            temperatures) only at the beginning of the hour or at 30 minutes after the hour. â¢ The
                            AC was used in POWER mode for longer duration than in REGULAR mode during this 3-hour
                            period.","What best can be concluded about the number of times the AC must have either been turned
                                on or the AC temperature setting been altered between 11:01 pm and 1:59 am?",More than 3,Exactly 2,Either 2 or 3,Exactly 3,MCQ,D,images\2024_slot3_scen3_1.jpg,,,
2024,3,DI-LR,"Out of 10 countries -- Country 1 through Country 10 -- Country 9 has the
                            highest gross domestic product (GDP), and Country 10 has the highest GDP per capita. GDP per
                            capita is the GDP of a country divided by its population. The table below provides the
                            following data about Country 1 through Country 8 for the year 2024. â¢ Column 1
                            gives the country's identity. â¢ Column 2 gives the country's GDP as a fraction of the
                            GDP of Country 9. â¢ Column 3 gives the country's GDP per capita as a fraction of the
                            GDP per capita of Country 10. â¢ Column 4 gives the country's annual GDP growth
                            rate. â¢ Column 5 gives the country's annual population growth rate. Assume that the GDP growth rates and population growth rates
                            of the countries will remain constant for the next three years.","Which one among the countries 1 through 8, has the smallest population in 2024?",Country 3,Country 5,Country 8,Country 7,MCQ,C,images\2024_slot3_scen4_1.jpg,,,
2024,3,DI-LR,"Out of 10 countries -- Country 1 through Country 10 -- Country 9 has the
                            highest gross domestic product (GDP), and Country 10 has the highest GDP per capita. GDP per
                            capita is the GDP of a country divided by its population. The table below provides the
                            following data about Country 1 through Country 8 for the year 2024. â¢ Column 1
                            gives the country's identity. â¢ Column 2 gives the country's GDP as a fraction of the
                            GDP of Country 9. â¢ Column 3 gives the country's GDP per capita as a fraction of the
                            GDP per capita of Country 10. â¢ Column 4 gives the country's annual GDP growth
                            rate. â¢ Column 5 gives the country's annual population growth rate. Assume that the GDP growth rates and population growth rates
                            of the countries will remain constant for the next three years.",The ratio of Country 4's GDP to Country 5's GDP in 2026 will be closest to,1.032,1.314,0.963,1.195,MCQ,D,images\2024_slot3_scen4_1.jpg,,,
2024,3,DI-LR,"Out of 10 countries -- Country 1 through Country 10 -- Country 9 has the
                            highest gross domestic product (GDP), and Country 10 has the highest GDP per capita. GDP per
                            capita is the GDP of a country divided by its population. The table below provides the
                            following data about Country 1 through Country 8 for the year 2024. â¢ Column 1
                            gives the country's identity. â¢ Column 2 gives the country's GDP as a fraction of the
                            GDP of Country 9. â¢ Column 3 gives the country's GDP per capita as a fraction of the
                            GDP per capita of Country 10. â¢ Column 4 gives the country's annual GDP growth
                            rate. â¢ Column 5 gives the country's annual population growth rate. Assume that the GDP growth rates and population growth rates
                            of the countries will remain constant for the next three years.","Which one among the countries 1, 4, 5, and 7 will have the largest population in 2027?",Country 4,Country 7,Country 1,Country 5,MCQ,C,images\2024_slot3_scen4_1.jpg,,,
2024,3,DI-LR,"The figure below shows a network with three parallel roads represented by
                            horizontal lines R-A, R-B, and R-C and another three parallel roads represented by vertical
                            lines V1, V2, and V3. The figure also shows the distance (in km) between two adjacent
                            intersections. Six ATMs are placed at six of the nine road intersections. Each ATM has a
                            distinct integer cash requirement (in Rs. Lakhs), and the numbers at the end of each line in
                            the figure indicate the total cash requirements of all ATMs placed on the corresponding
                            road. For example, the total cash requirement of the ATM(s) placed on road R-A is Rs. 22
                            Lakhs. The following additional information is known. 1. The ATMs with the
                            minimum and maximum cash requirements of Rs. 7 Lakhs and Rs. 15 Lakhs are placed on the same
                            road. 2. The road distance between the ATM with the second highest cash requirement and
                            the ATM located at the intersection of R-C and V3 is 12 km.",Which of the following statements is correct?,"The ATM placed at the (R-C, V2) intersection has a cash requirement of Rs. 9
                                            Lakhs.","There is no ATM placed at the (R-C, V2) intersection.","The ATM placed at the (R-C, V2) intersection has a cash requirement of Rs. 8
                                            Lakhs.","The cash requirement of the ATM placed at the (R-C, V2) intersection cannot
                                            be uniquely determined.",MCQ,A,images\2024_slot3_scen5_1.jpg,,,
2024,3,DI-LR,"The figure below shows a network with three parallel roads represented by
                            horizontal lines R-A, R-B, and R-C and another three parallel roads represented by vertical
                            lines V1, V2, and V3. The figure also shows the distance (in km) between two adjacent
                            intersections. Six ATMs are placed at six of the nine road intersections. Each ATM has a
                            distinct integer cash requirement (in Rs. Lakhs), and the numbers at the end of each line in
                            the figure indicate the total cash requirements of all ATMs placed on the corresponding
                            road. For example, the total cash requirement of the ATM(s) placed on road R-A is Rs. 22
                            Lakhs. The following additional information is known. 1. The ATMs with the
                            minimum and maximum cash requirements of Rs. 7 Lakhs and Rs. 15 Lakhs are placed on the same
                            road. 2. The road distance between the ATM with the second highest cash requirement and
                            the ATM located at the intersection of R-C and V3 is 12 km.","Which of the following two statements is/are DEFINITELY true? A)Statement A:
                                Each of R-A, R-B, and R-C has two ATMs. B)Statement B: Each of V1, V2, and V3 has
                                two ATMs.",Both Statement A and Statement B,Neither Statement A nor Statement B,Only Statement A,Only Statement B,MCQ,C,images\2024_slot3_scen5_1.jpg,,,
2024,3,DI-LR,"The figure below shows a network with three parallel roads represented by
                            horizontal lines R-A, R-B, and R-C and another three parallel roads represented by vertical
                            lines V1, V2, and V3. The figure also shows the distance (in km) between two adjacent
                            intersections. Six ATMs are placed at six of the nine road intersections. Each ATM has a
                            distinct integer cash requirement (in Rs. Lakhs), and the numbers at the end of each line in
                            the figure indicate the total cash requirements of all ATMs placed on the corresponding
                            road. For example, the total cash requirement of the ATM(s) placed on road R-A is Rs. 22
                            Lakhs. The following additional information is known. 1. The ATMs with the
                            minimum and maximum cash requirements of Rs. 7 Lakhs and Rs. 15 Lakhs are placed on the same
                            road. 2. The road distance between the ATM with the second highest cash requirement and
                            the ATM located at the intersection of R-C and V3 is 12 km.","What best can be said about the road distance (in km) between the ATMs having the second
                                highest and the second lowest cash requirements?",7 km,5 km,4 km,Either 4 km or 7 km,MCQ,D,images\2024_slot3_scen5_1.jpg,,,
2022,1,DI-LR,"There are 15 girls and some boys among the graduating students in a class. They are planning a get-together, which can be either a 1-day event, or a 2-day event, or a 3-day event. There are 6 singers in the class, 4 of them are boys. There are 10 dancers in the class, 4 of them are girls. No dancer in the class is a singer. Some students are not interested in attending the get-together. Those students who are interested in attending a 3-day event are also interested in attending a 2-day event; those who are interested in attending a 2-day event are also interested in attending a 1-day event. The following facts are also known: 1. All the girls and 80% of the boys are interested in attending a 1-day event. 60% of the boys are interested in attending a 2-day event. 2. Some of the girls are interested in attending a 1-day event, but not a 2-day event; some of the other girls are interested in attending both. 3. 70% of the boys who are interested in attending a 2-day event are neither singers nor dancers. 60% of the girls who are interested in attending a 2-day event are neither singers nor dancers. 4. No girl is interested in attending a 3-day event. All male singers and 2 of the dancers are interested in attending a 3-day event. 5. The number of singers interested in attending a 2-day event is one more than the number of dancers interested in attending a 2-day event.",How many boys are there in the class?,,,,,Numerical,50,,,,
2022,1,DI-LR,"Given above is the schematic map of the metro lines in a city with rectangles denoting terminal stations (e.g. A), diamonds denoting junction stations (e.g. R) and small filled-up circles denoting other stations. Each train runs either in east-west or north-south direction, but not both. All trains stop for 2 minutes at each of the junction stations on the way and for 1 minute at each of the other stations. It takes 2 minutes to reach the next station for trains going in east-west direction and 3 minutes to reach the next station for trains going in north-south direction. From each terminal station, the first train starts at 6 am; the last trains leave the terminal stations at midnight. Otherwise, during the service hours, there are metro service every 15 minutes in the north-south lines and every 10 minutes in the east-west lines. A train must rest for at least 15 minutes after completing a trip at the terminal station, before it can undertake the next trip in the reverse direction. (All questions are related to this metro service only. Assume that if someone reaches a station exactly at the time a train is supposed to leave, (s)he can catch that train.)",What is the minimum number of trains that are required to provide the service on the AB line (considering both north and south directions)?,,,,,Numerical,8,images\2022_slot1_scen2_1.jpg,,,
2022,1,DI-LR,"Given above is the schematic map of the metro lines in a city with rectangles denoting terminal stations (e.g. A), diamonds denoting junction stations (e.g. R) and small filled-up circles denoting other stations. Each train runs either in east-west or north-south direction, but not both. All trains stop for 2 minutes at each of the junction stations on the way and for 1 minute at each of the other stations. It takes 2 minutes to reach the next station for trains going in east-west direction and 3 minutes to reach the next station for trains going in north-south direction. From each terminal station, the first train starts at 6 am; the last trains leave the terminal stations at midnight. Otherwise, during the service hours, there are metro service every 15 minutes in the north-south lines and every 10 minutes in the east-west lines. A train must rest for at least 15 minutes after completing a trip at the terminal station, before it can undertake the next trip in the reverse direction. (All questions are related to this metro service only. Assume that if someone reaches a station exactly at the time a train is supposed to leave, (s)he can catch that train.)",What is the minimum number of trains that are required to provide the service in this city?,,,,,Numerical,48,images\2022_slot1_scen2_1.jpg,,,
2022,1,DI-LR,"Adhara, Bithi, Chhaya, Dhanavi, Esther, and Fathima are the interviewers in a process that awards funding for new initiatives. Every interviewer individually interviews each of the candidates individually and awards a token only if she recommends funding. A token has a face value of 2, 3, 5, 7, 11, or 13. Each interviewer awards tokens of a single face value only. Once all six interviews are over for a candidate, the candidate receives a funding that is Rs.1000 times the product of the face values of all the tokens. For example, if a candidate has tokens with face values 2, 5, and 7, then they get a funding of Rs.1000 Ã (2 Ã 5 Ã 7) = Rs.70,000. Pragnyaa, Qahira, Rasheeda, Smera, and Tantra were five candidates who received funding. The funds they received, in descending order, were Rs.390,000, Rs.210,000, Rs.165,000, Rs.77,000, and Rs.66,000. The following additional facts are known: 1. Fathima awarded tokens to everyone except Qahira, while Adhara awarded tokens to no one except Pragnyaa. 2. Rashida received the highest number of tokens that anyone received, but she did not receive one from Esther. 3. Bithi awarded a token to Smera but not to Qahira, while Dhanavi awarded a token to Qahira but not to Smera.",How many tokens did Qahira receive?,,,,,Numerical,2,,,,
2022,1,DI-LR,"Adhara, Bithi, Chhaya, Dhanavi, Esther, and Fathima are the interviewers in a process that awards funding for new initiatives. Every interviewer individually interviews each of the candidates individually and awards a token only if she recommends funding. A token has a face value of 2, 3, 5, 7, 11, or 13. Each interviewer awards tokens of a single face value only. Once all six interviews are over for a candidate, the candidate receives a funding that is Rs.1000 times the product of the face values of all the tokens. For example, if a candidate has tokens with face values 2, 5, and 7, then they get a funding of Rs.1000 Ã (2 Ã 5 Ã 7) = Rs.70,000. Pragnyaa, Qahira, Rasheeda, Smera, and Tantra were five candidates who received funding. The funds they received, in descending order, were Rs.390,000, Rs.210,000, Rs.165,000, Rs.77,000, and Rs.66,000. The following additional facts are known: 1. Fathima awarded tokens to everyone except Qahira, while Adhara awarded tokens to no one except Pragnyaa. 2. Rashida received the highest number of tokens that anyone received, but she did not receive one from Esther. 3. Bithi awarded a token to Smera but not to Qahira, while Dhanavi awarded a token to Qahira but not to Smera.",How many tokens did Chhaya award?,,,,,Numerical,3,,,,
2022,1,DI-LR,"Adhara, Bithi, Chhaya, Dhanavi, Esther, and Fathima are the interviewers in a process that awards funding for new initiatives. Every interviewer individually interviews each of the candidates individually and awards a token only if she recommends funding. A token has a face value of 2, 3, 5, 7, 11, or 13. Each interviewer awards tokens of a single face value only. Once all six interviews are over for a candidate, the candidate receives a funding that is Rs.1000 times the product of the face values of all the tokens. For example, if a candidate has tokens with face values 2, 5, and 7, then they get a funding of Rs.1000 Ã (2 Ã 5 Ã 7) = Rs.70,000. Pragnyaa, Qahira, Rasheeda, Smera, and Tantra were five candidates who received funding. The funds they received, in descending order, were Rs.390,000, Rs.210,000, Rs.165,000, Rs.77,000, and Rs.66,000. The following additional facts are known: 1. Fathima awarded tokens to everyone except Qahira, while Adhara awarded tokens to no one except Pragnyaa. 2. Rashida received the highest number of tokens that anyone received, but she did not receive one from Esther. 3. Bithi awarded a token to Smera but not to Qahira, while Dhanavi awarded a token to Qahira but not to Smera.",How many tokens did Smera receive?,,,,,Numerical,3,,,,
2022,2,DI-LR,"A few salesmen are employed to sell a product called TRICCEK among households in various housing complexes. On each day, a salesman is assigned to visit one housing complex. Once a salesman enters a housing complex, he can meet any number of households in the time available. However, if a household makes a complaint against the salesman, then he must leave the housing complex immediately and cannot meet any other household on that day. A household may buy any number of TRICCEK items or may not buy any item. The salesman needs to record the total number of TRICCEK items sold as well as the number of households met in each day. The success rate of a salesman for a day is defined as the ratio of the number of items sold to the number of households met on that day. Some details about the performances of three salesmen - Tohri, Hokli and Lahur, on two particular days are given below. 1. Over the two days, all three of them met the same total number of households, and each of them sold a total of 100 items. 2. On both days, Lahur met the same number of households and sold the same number of items. 3. Hokli could not sell any item on the second day because the first household he met on that day complained against him. 4. Tohri met 30 more households on the second day than on the first day. 5. Tohri's success rate was twice that of Lahur's on the first day, and it was 75% of Lahur's on the second day.","What was the total number of households met by Tohri, Hokli and Lahur on the first day?",,,,,Numerical,84,,,,
2022,2,DI-LR,"A few salesmen are employed to sell a product called TRICCEK among households in various housing complexes. On each day, a salesman is assigned to visit one housing complex. Once a salesman enters a housing complex, he can meet any number of households in the time available. However, if a household makes a complaint against the salesman, then he must leave the housing complex immediately and cannot meet any other household on that day. A household may buy any number of TRICCEK items or may not buy any item. The salesman needs to record the total number of TRICCEK items sold as well as the number of households met in each day. The success rate of a salesman for a day is defined as the ratio of the number of items sold to the number of households met on that day. Some details about the performances of three salesmen - Tohri, Hokli and Lahur, on two particular days are given below. 1. Over the two days, all three of them met the same total number of households, and each of them sold a total of 100 items. 2. On both days, Lahur met the same number of households and sold the same number of items. 3. Hokli could not sell any item on the second day because the first household he met on that day complained against him. 4. Tohri met 30 more households on the second day than on the first day. 5. Tohri's success rate was twice that of Lahur's on the first day, and it was 75% of Lahur's on the second day.",How many TRICCEK items were sold by Tohri on the first day?,,,,,Numerical,40,,,,
2022,2,DI-LR,"Every day a widget supplier supplies widgets from the warehouse (W) to four locations â Ahmednagar (A), Bikrampore (B), Chitrachak (C), and Deccan Park (D). The daily demand for widgets in each location is uncertain and independent of each other. Demands and corresponding probability values (in parenthesis) are given against each location (A, B, C, and D) in the figure below. For example, there is a 40% chance that the demand in Ahmednagar will be 50 units and a 60% chance that the demand will be 70 units. The lines in the figure connecting the locations and warehouse represent two-way roads connecting those places with the distances (in km) shown beside the line. The distances in both the directions along a road are equal. For example, the road from Ahmednagar to Bikrampore and the road from Bikrampore to Ahmednagar are both 6 km long. Every day the supplier gets the information about the demand values of the four locations and creates the travel route that starts from the warehouse and ends at a location after visiting all the locations exactly once. While making the route plan, the supplier goes to the locations in decreasing order of demand. If there is a tie for the choice of the next location, the supplier will go to the location closest to the current location. Also, while creating the route, the supplier can either follow the direct path (if available) from one location to another or can take the path via the warehouse. If both paths are available (direct and via warehouse), the supplier will choose the path with minimum distance.","If the last location visited is Ahmednagar, then what is the total distance covered in the route (in km)?",,,,,Numerical,35,images\2022_slot2_scen2_1.jpg,,,
2022,2,DI-LR,"Every day a widget supplier supplies widgets from the warehouse (W) to four locations â Ahmednagar (A), Bikrampore (B), Chitrachak (C), and Deccan Park (D). The daily demand for widgets in each location is uncertain and independent of each other. Demands and corresponding probability values (in parenthesis) are given against each location (A, B, C, and D) in the figure below. For example, there is a 40% chance that the demand in Ahmednagar will be 50 units and a 60% chance that the demand will be 70 units. The lines in the figure connecting the locations and warehouse represent two-way roads connecting those places with the distances (in km) shown beside the line. The distances in both the directions along a road are equal. For example, the road from Ahmednagar to Bikrampore and the road from Bikrampore to Ahmednagar are both 6 km long. Every day the supplier gets the information about the demand values of the four locations and creates the travel route that starts from the warehouse and ends at a location after visiting all the locations exactly once. While making the route plan, the supplier goes to the locations in decreasing order of demand. If there is a tie for the choice of the next location, the supplier will go to the location closest to the current location. Also, while creating the route, the supplier can either follow the direct path (if available) from one location to another or can take the path via the warehouse. If both paths are available (direct and via warehouse), the supplier will choose the path with minimum distance.","If the total number of widgets delivered in a day is 250 units, then what is the total distance covered in the route (in km)?",,,,,Numerical,38,images\2022_slot2_scen2_1.jpg,,,
2022,2,DI-LR,"A speciality supermarket sells 320 products. Each of these products was either a cosmetic product or a nutrition product. Each of these products was also either a foreign product or a domestic product. Each of these products had at least one of the two approvals â FDA or EU. The following facts are also known: 1. There were equal numbers of domestic and foreign products. 2. Half of the domestic products were FDA approved cosmetic products. 3. None of the foreign products had both the approvals, while 60 domestic products had both the approvals. 4. There were 140 nutrition products, half of them were foreign products. 5. There were 200 FDA approved products. 70 of them were foreign products and 120 of them were cosmetic products.",How many foreign products were FDA approved cosmetic products?,,,,,Numerical,40,,,,
2022,2,DI-LR,"A speciality supermarket sells 320 products. Each of these products was either a cosmetic product or a nutrition product. Each of these products was also either a foreign product or a domestic product. Each of these products had at least one of the two approvals â FDA or EU. The following facts are also known: 1. There were equal numbers of domestic and foreign products. 2. Half of the domestic products were FDA approved cosmetic products. 3. None of the foreign products had both the approvals, while 60 domestic products had both the approvals. 4. There were 140 nutrition products, half of them were foreign products. 5. There were 200 FDA approved products. 70 of them were foreign products and 120 of them were cosmetic products.","If 50 nutrition products did not have EU approval, then how many domestic cosmetic products did not have EU approval?",,,,,Numerical,50,,,,
2022,3,DI-LR,"All the first-year students in the computer science (CS) department in a university take both the courses (i) AI and (ii) ML. Students from other departments (non-CS students) can also take one of these two courses, but not both. Students who fail in a course get an F grade; others pass and are awarded A or B or C grades depending on their performance. The following are some additional facts about the number of students who took these two courses this year and the grades they obtained. 1. The numbers of non-CS students who took AI and ML were in the ratio 2 : 5. 2. The number of non-CS students who took either AI or ML was equal to the number of CS students. 3. The numbers of non-CS students who failed in the two courses were the same and their total is equal to the number of CS students who got a C grade in ML. 4. In both the courses, 50% of the students who passed got a B grade. But, while the numbers of students who got A and C grades were the same for AI, they were in the ratio 3 : 2 for ML. 5. No CS student failed in AI, while no non-CS student got an A grade in AI. 6. The numbers of CS students who got A, B and C grades respectively in AI were in the ratio 3 : 5 : 2, while in ML the ratio was 4 : 5 : 2. 7. The ratio of the total number of non-CS students failing in one of the two courses to the number of CS students failing in one of the two courses was 3 : 1. 8. 30 students failed in ML.",How many CS students failed in ML?,,,,,Numerical,12,,,,
2022,3,DI-LR,"All the first-year students in the computer science (CS) department in a university take both the courses (i) AI and (ii) ML. Students from other departments (non-CS students) can also take one of these two courses, but not both. Students who fail in a course get an F grade; others pass and are awarded A or B or C grades depending on their performance. The following are some additional facts about the number of students who took these two courses this year and the grades they obtained. 1. The numbers of non-CS students who took AI and ML were in the ratio 2 : 5. 2. The number of non-CS students who took either AI or ML was equal to the number of CS students. 3. The numbers of non-CS students who failed in the two courses were the same and their total is equal to the number of CS students who got a C grade in ML. 4. In both the courses, 50% of the students who passed got a B grade. But, while the numbers of students who got A and C grades were the same for AI, they were in the ratio 3 : 2 for ML. 5. No CS student failed in AI, while no non-CS student got an A grade in AI. 6. The numbers of CS students who got A, B and C grades respectively in AI were in the ratio 3 : 5 : 2, while in ML the ratio was 4 : 5 : 2. 7. The ratio of the total number of non-CS students failing in one of the two courses to the number of CS students failing in one of the two courses was 3 : 1. 8. 30 students failed in ML.",How many non-CS students got A grade in ML?,,,,,Numerical,27,,,,
2022,3,DI-LR,"Pulak, Qasim, Ritesh, and Suresh participated in a tournament comprising of eight rounds. In each round, they formed two pairs, with each of them being in exactly one pair. The only restriction in the pairing was that the pairs would change in successive rounds. For example, if Pulak formed a pair with Qasim in the first round, then he would have to form a pair with Ritesh or Suresh in the second round. He would be free to pair with Qasim again in the third round. In each round, each pair decided whether to play the game in that round or not. If they decided not to play, then no money was exchanged between them. If they decided to play, they had to bet either â¹1 or â¹2 in that round. For example, if they chose to bet â¹2, then the player winning the game got â¹2 from the one losing the game. At the beginning of the tournament, the players had â¹10 each. The following table shows partial information about the amounts that the players had at the end of each of the eight rounds. It shows every time a player had â¹10 at the end of a round, as well as every time, at the end of a round, a player had either the minimum or the maximum amount that he would have had across the eight rounds. For example, Suresh had â¹10 at the end of Rounds 1, 3, and 8 and not after any of the other rounds. The maximum amount that he had at the end of any round was â¹13 (at the end of Round 5), and the minimum amount he had at the end of any round was â¹8 (at the end of Round 2). At the end of all other rounds, he must have had either â¹9, â¹11, or â¹12. It was also known that Pulak and Qasim had the same amount of money with them at the end of Round 4.",How much money (in â¹) did Ritesh have at the end of Round 4?,,,,,Numerical,6,,,,
2022,3,DI-LR,"Pulak, Qasim, Ritesh, and Suresh participated in a tournament comprising of eight rounds. In each round, they formed two pairs, with each of them being in exactly one pair. The only restriction in the pairing was that the pairs would change in successive rounds. For example, if Pulak formed a pair with Qasim in the first round, then he would have to form a pair with Ritesh or Suresh in the second round. He would be free to pair with Qasim again in the third round. In each round, each pair decided whether to play the game in that round or not. If they decided not to play, then no money was exchanged between them. If they decided to play, they had to bet either â¹1 or â¹2 in that round. For example, if they chose to bet â¹2, then the player winning the game got â¹2 from the one losing the game. At the beginning of the tournament, the players had â¹10 each. The following table shows partial information about the amounts that the players had at the end of each of the eight rounds. It shows every time a player had â¹10 at the end of a round, as well as every time, at the end of a round, a player had either the minimum or the maximum amount that he would have had across the eight rounds. For example, Suresh had â¹10 at the end of Rounds 1, 3, and 8 and not after any of the other rounds. The maximum amount that he had at the end of any round was â¹13 (at the end of Round 5), and the minimum amount he had at the end of any round was â¹8 (at the end of Round 2). At the end of all other rounds, he must have had either â¹9, â¹11, or â¹12. It was also known that Pulak and Qasim had the same amount of money with them at the end of Round 4.",How many games were played with a bet of â¹2?,,,,,Numerical,6,,,,
2022,3,DI-LR,"In the following, a year corresponds to 1 st of January of that year. A study to determine the mortality rate for a disease began in 1980. The study chose 1000 males and 1000 females and followed them for forty years or until they died, whichever came first. The 1000 males chosen in 1980 consisted of 250 each of ages 10 to less than 20, 20 to less than 30, 30 to less than 40, and 40 to less than 50. The 1000 females chosen in 1980 also consisted of 250 each of ages 10 to less than 20, 20 to less than 30, 30 to less than 40, and 40 to less than 50. The four figures below depict the age profile of those among the 2000 individuals who were still alive in 1990, 2000, 2010, and 2020. The blue bars in each figure represent the number of males in each age group at that point in time, while the pink bars represent the number of females in each age group at that point in time. The numbers next to the bars give the exact numbers being represented by the bars. For example, we know that 230 males among those tracked and who were alive in 1990 were aged between 20 and 30.",How many of the males who were being tracked and who were between 20 and 30 years of age in 1980 died in the period 2000 to 2010?,,,,,Numerical,40,images\2022_slot3_scen3_1.jpg,,,
2022,3,DI-LR,"In the following, a year corresponds to 1 st of January of that year. A study to determine the mortality rate for a disease began in 1980. The study chose 1000 males and 1000 females and followed them for forty years or until they died, whichever came first. The 1000 males chosen in 1980 consisted of 250 each of ages 10 to less than 20, 20 to less than 30, 30 to less than 40, and 40 to less than 50. The 1000 females chosen in 1980 also consisted of 250 each of ages 10 to less than 20, 20 to less than 30, 30 to less than 40, and 40 to less than 50. The four figures below depict the age profile of those among the 2000 individuals who were still alive in 1990, 2000, 2010, and 2020. The blue bars in each figure represent the number of males in each age group at that point in time, while the pink bars represent the number of females in each age group at that point in time. The numbers next to the bars give the exact numbers being represented by the bars. For example, we know that 230 males among those tracked and who were alive in 1990 were aged between 20 and 30.",How many of the females who were being tracked and who were between 20 and 30 years of age in 1980 died between the ages of 50 and 60?,,,,,Numerical,30,images\2022_slot3_scen3_1.jpg,,,
2023,1,DI-LR,"Five restaurants, coded R1, R2, R3, R4 and R5 gave integer ratings to five gig workers â Ullas, Vasu, Waman, Xavier and Yusuf, on a scale of 1 to 5. The means of the ratings given by R1, R2, R3, R4 and R5 were 3.4, 2.2, 3.8, 2.8 and 3.4 respectively. The summary statistics of these ratings for the five workers is given below. Ullas Vasu Waman Xavier Yusuf Mean rating 2.2 3.8 3.4 3.6 2.6 Median rating 2 4 4 4 3 Modal rating 2 4 5 5 1 and 4 Range of rating* 3 3 4 4 3 * Range of ratings is defined as the difference between the maximum and minimum ratings awarded to a worker. The following is partial information about ratings of 1 and 5 awarded by the restaurants to the workers. (a) R1 awarded a rating of 5 to Waman, as did R2 to Xavier, R3 to Waman and Xavier, and R5 to Vasu. (b) R1 awarded a rating of 1 to Ullas, as did R2 to Waman and Yusuf, and R3 to Yusuf.",How many individual ratings cannot be determined from the above information?,,,,,Numerical,0,,,,
2023,1,DI-LR,"Five restaurants, coded R1, R2, R3, R4 and R5 gave integer ratings to five gig workers â Ullas, Vasu, Waman, Xavier and Yusuf, on a scale of 1 to 5. The means of the ratings given by R1, R2, R3, R4 and R5 were 3.4, 2.2, 3.8, 2.8 and 3.4 respectively. The summary statistics of these ratings for the five workers is given below. Ullas Vasu Waman Xavier Yusuf Mean rating 2.2 3.8 3.4 3.6 2.6 Median rating 2 4 4 4 3 Modal rating 2 4 5 5 1 and 4 Range of rating* 3 3 4 4 3 * Range of ratings is defined as the difference between the maximum and minimum ratings awarded to a worker. The following is partial information about ratings of 1 and 5 awarded by the restaurants to the workers. (a) R1 awarded a rating of 5 to Waman, as did R2 to Xavier, R3 to Waman and Xavier, and R5 to Vasu. (b) R1 awarded a rating of 1 to Ullas, as did R2 to Waman and Yusuf, and R3 to Yusuf.",To how many workers did R2 give a rating of 4?,,,,,Numerical,0,,,,
2023,1,DI-LR,"Five restaurants, coded R1, R2, R3, R4 and R5 gave integer ratings to five gig workers â Ullas, Vasu, Waman, Xavier and Yusuf, on a scale of 1 to 5. The means of the ratings given by R1, R2, R3, R4 and R5 were 3.4, 2.2, 3.8, 2.8 and 3.4 respectively. The summary statistics of these ratings for the five workers is given below. Ullas Vasu Waman Xavier Yusuf Mean rating 2.2 3.8 3.4 3.6 2.6 Median rating 2 4 4 4 3 Modal rating 2 4 5 5 1 and 4 Range of rating* 3 3 4 4 3 * Range of ratings is defined as the difference between the maximum and minimum ratings awarded to a worker. The following is partial information about ratings of 1 and 5 awarded by the restaurants to the workers. (a) R1 awarded a rating of 5 to Waman, as did R2 to Xavier, R3 to Waman and Xavier, and R5 to Vasu. (b) R1 awarded a rating of 1 to Ullas, as did R2 to Waman and Yusuf, and R3 to Yusuf.",What rating did R1 give to Xavier?,,,,,Numerical,3,,,,
2023,1,DI-LR,"Five restaurants, coded R1, R2, R3, R4 and R5 gave integer ratings to five gig workers â Ullas, Vasu, Waman, Xavier and Yusuf, on a scale of 1 to 5. The means of the ratings given by R1, R2, R3, R4 and R5 were 3.4, 2.2, 3.8, 2.8 and 3.4 respectively. The summary statistics of these ratings for the five workers is given below. Ullas Vasu Waman Xavier Yusuf Mean rating 2.2 3.8 3.4 3.6 2.6 Median rating 2 4 4 4 3 Modal rating 2 4 5 5 1 and 4 Range of rating* 3 3 4 4 3 * Range of ratings is defined as the difference between the maximum and minimum ratings awarded to a worker. The following is partial information about ratings of 1 and 5 awarded by the restaurants to the workers. (a) R1 awarded a rating of 5 to Waman, as did R2 to Xavier, R3 to Waman and Xavier, and R5 to Vasu. (b) R1 awarded a rating of 1 to Ullas, as did R2 to Waman and Yusuf, and R3 to Yusuf.",What is the median of the ratings given by R3 to the five workers?,,,,,Numerical,4,,,,
